Företagsnamn	Typ	Finansiär	Belopp	Mottaget datum	Anteckning
Wellgo Health AB	De minimis	Sprint X TVV De minimis	41163	2024-06-30	Insatser och tid nedlagd av personal jan-juni 2024 Sprint X 2.0
Intrest (Linkapp AB)	Excellensmedel	Vinnova Excellensmedel	15000	2024-05-31	Affärscoachning maj Andreas
Invite To Do AB	Excellensmedel	Vinnova Excellensmedel	4060	2024-05-31	Slutfaktura Barzey law affärsjuridisk insats
Affärskompetens Sverige AB	Excellensmedel	Vinnova Excellensmedel	15000	2024-05-31	Affärscoachning maj Andreas (Origami makers)
Sin Fin Concrete i Scandiavien AB	Excellensmedel	Vinnova Excellensmedel	12880	2024-05-31	Delfaktura Barzey law - affärsjuridiskt stöd
Konstraktor i Gävle AB	Excellensmedel	Vinnova Excellensmedel	15000	2024-05-31	Affärscoachning maj Andreas (Origami makers)
Happymaker AB	Excellensmedel	Vinnova Excellensmedel	15000	2024-05-31	affärscoachning Andreas maj (Origami makers)
HR Hackarna AB	De minimis	Sprint X TVV De minimis	2232	2024-05-31	Sprint X 2.0 intern tid 202401-202405
Dealpotential AB	Ägarkapital	Riskkapital	5000000	2024-05-28	family office
Enava AB	Excellensmedel	Vinnova Excellensmedel	2500	2024-05-08	Delfaktura Lindahls affärsjuridik
Wellgo Health AB	Excellensmedel	Vinnova Excellensmedel	32100	2024-05-08	Slutfakturering Lindahls affärsjuridiskt insats
HR Hackarna AB	Excellensmedel	Vinnova Excellensmedel	9000	2024-05-08	Slutfaktura Lindahls affärsjuridisk insats
PepperVault AB	Excellensmedel	Vinnova Excellensmedel	10900	2024-05-08	Affärsjuridisk insats Lindahls delfaktura
Invite To Do AB	Excellensmedel	Vinnova Excellensmedel	10930	2024-05-08	Affärsjuridik Barzey law - beviljat stöd 15 000kr - delfaktura
Sin Fin Concrete i Scandiavien AB	Excellensmedel	Vinnova Excellensmedel	980	2024-05-08	Barzey law - affärsjuridik. Beviljat stöd 40 000kr -delfakturerat
Climate Champ	Excellensmedel	Vinnova Excellensmedel	35000	2024-05-06	Fintegrity Scenariovärdering
Konstraktor i Gävle AB	Excellensmedel	Vinnova Excellensmedel	20000	2024-04-30	Affärscoachning april Andreas ( origami makers)
Intrest (Linkapp AB)	Excellensmedel	Vinnova Excellensmedel	20000	2024-04-30	Affärscoachning Andreas april
Happymaker AB	Excellensmedel	Vinnova Excellensmedel	20000	2024-04-30	Affärscoachning april Andreas (Origami makers)
Konstraktor i Gävle AB	Excellensmedel	Vinnova Excellensmedel	10000	2024-04-22	Affärsjuridik - skydd av IP skretessavtal Rouse
Enava AB	Excellensmedel	Vinnova Excellensmedel	13000	2024-04-17	Affärsjuridik Lindahls - Delfakturering
Enava AB	Excellensmedel	Vinnova Excellensmedel	14700	2024-04-17	Styrelseutbildning styrelseakademin
HR Hackarna AB	Excellensmedel	Vinnova Excellensmedel	31000	2024-04-17	Affärsjuridik Lindahls delfakturerad
Wellgo Health AB	Excellensmedel	Vinnova Excellensmedel	17900	2024-04-17	Affärsjuridik Lindahls delfakturerad
Climate Champ	De minimis	Region Gävleborg verifieringsmedel	100000	2024-04-10	Region Gävleborg innovationscheck Oklart datum
Climate Champ	De minimis	ALMI	50000	2024-04-10	Oklart datum
Konstraktor i Gävle AB	Excellensmedel	Vinnova Excellensmedel	4975	2024-03-30	Digital strategi - namn Wilson
Enava AB	Excellensmedel	Vinnova Excellensmedel	35000	2024-03-30	Scenariovärdering Fintegrity
